Price,Close,High,Low,Open,Volume
Ticker,SEB,SEB,SEB,SEB,SEB
Date,,,,,
2022-01-27,3601.76025390625,3675.09420713114,3583.6590107430156,3622.925998582106,1000
2022-01-28,3717.110107421875,3745.749697205886,3577.3326611641837,3610.351662520918,900
2022-01-31,3776.42529296875,3826.616310843791,3587.8803692703113,3732.8182348954597,3400
2022-02-01,3760.291015625,3799.617374073212,3609.372111581925,3798.9353010951363,400
2022-02-02,3874.633056640625,3934.4529951051345,3736.9018292220576,3739.8577208592033,900
2022-02-03,3848.01904296875,3937.0421187842944,3792.450126802155,3875.7887783158717,700
2022-02-04,3787.853271484375,3875.294498308879,3778.4517182895815,3858.201642886825,400
2022-02-07,3875.28515625,3904.557580427823,3787.3100366529507,3812.232495040375,500
2022-02-08,3859.51708984375,3945.485330950986,3789.7815124531703,3875.285142556859,500
2022-02-09,3913.83984375,4033.469799592662,3854.524111403049,3900.889145645049,1100
2022-02-10,3939.563720703125,3996.6155393624063,3858.014471880131,3906.9202717071535,1100
2022-02-11,3890.4892578125,3954.3820702617163,3830.8076305660375,3942.469446003787,600
2022-02-14,3752.857177734375,3904.9527108764983,3744.8002199494117,3853.5457384801493,600
2022-02-15,3667.680419921875,3796.2077659433967,3625.2796534412614,3761.656391969955,1100
2022-02-16,3647.898193359375,3755.6650158860366,3563.8873534999434,3672.7711732711005,1100
2022-02-17,3641.99609375,3682.5186178258623,3585.9922494335233,3621.7298839069317,1000
2022-02-18,3565.8837890625,3697.9008718358928,3536.9871616682126,3672.6521039411064,1900
2022-02-22,3647.908203125,3650.676319330274,3565.8646564068663,3594.840454027234,700
2022-02-23,3643.3798828125,3681.5298724336535,3574.988909421555,3620.741140988029,800
2022-02-24,3697.49951171875,3754.0123672169793,3571.7523464897786,3605.622530098008,1100
2022-02-25,3758.998046875,3760.056558056873,3638.4738819441145,3708.509261184285,1200
2022-02-28,3817.795654296875,3820.2785546938044,3661.027337376324,3780.720476479954,2200
2022-03-01,3693.611328125,3828.1919612977626,3666.240256685821,3828.1919612977626,2600
2022-03-02,3802.49267578125,3803.739076777353,3694.6600315717974,3722.7432983479725,1000
2022-03-03,3736.236572265625,3846.9972218478592,3709.498478253914,3798.526441732008,700
2022-03-04,3660.04833984375,3808.4084732151778,3646.1401358177236,3719.390412861135,700
2022-03-07,3719.40087890625,3788.634958208236,3612.952989915373,3678.5666851542915,900
2022-03-08,3772.154052734375,3835.1165033808725,3697.133076817538,3753.982342265099,1000
2022-03-09,3846.907958984375,3850.9340687989884,3763.904311168798,3778.7522061668324,500
2022-03-10,3820.279052734375,3927.142317277452,3700.615602995865,3809.526578385176,600
